spi,method,signature,status,adapter,caller_evidence,deletion_gate
ArchivedDatasetFileDao,findByPK,EntityBean findByPK(int ID),removed,,app/src/test/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapterTest.java:66:        StudyBean bean = (StudyBean) adapter.findByPK(7);; app/src/test/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapterTest.java:89:        Object bean = adapter.findByPK(404);; app/src/test/java/org/researchedc/module/filter/internal/adapter/FilterDaoAdapterTest.java:48:        FilterBean bean = (FilterBean) adapter.findByPK(7);; app/src/test/java/org/researchedc/module/filter/internal/adapter/FilterDaoAdapterTest.java:64:        Object bean = adapter.findByPK(404);; app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapterTest.java:139:        when(studyDao.findByPK(11)).thenReturn(study);; app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapterTest.java:142:        when(subjectDao.findByPK(31)).thenReturn(subject);; app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapterTest.java:146:        when(studyEventDefinitionDao.findByPK(61)).thenReturn(definition);; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:35:    public EntityBean findByPK(int ID) {,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,create,EntityBean create(EntityBean eb),removed,,"app/src/test/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapterTest.java:118:        StudyBean result = (StudyBean) adapter.create(input);; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:133:        // If Upsert bean is not present, create one with default settings; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:196:                            // spell out criteria and create a bean if; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:214:                                newEventCrfBean = (EventCRFBean) eventCrfDAO.create(newEventCrfBean);; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:258:        // If Upsert bean is not present, create one with default settings; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:419:        // create a second Validator, this one for hard edit checks; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:512:                            // also need to create a group name checker here for; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:624:                                // >> TBH #5548 did we create any repeated blank spots? If so, fill them in with an Item",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,update,EntityBean update(EntityBean eb),removed,,"app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:753:        // we statically update the hash map here, so it should not have to be; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:105:        FilterEntity result = service.update(1, ""Updated"", ""Updated desc"");; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:119:        FilterEntity result = service.update(1, ""Updated"", null);; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:129:                () -> service.update(999, ""name"", ""desc""));; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:54:    public EntityBean update(EntityBean eb) {; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyParameterValueDaoAdapter.java:95:        int deleted = jdbc.update(delSql, studyId, parameterHandle);; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyParameterValueDaoAdapter.java:100:        jdbc.update(insSql, studyId, parameterHandle, value);; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyParameterValueDaoAdapter.java:191:        jdbc.update(connection -> {",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,findAll,Collection findAll(),removed,,"app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:34:        when(filterRepository.findAll()).thenReturn(List.of(f1, f2));; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:45:        when(filterRepository.findAll()).thenReturn(List.of());; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:66:    public Collection<ItemDataBean> findAll();; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:68:    public Collection findAll(String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; app/src/test/java/org/researchedc/module/filter/internal/adapter/FilterDaoAdapterTest.java:75:        ArrayList filters = (ArrayList) adapter.findAll();; app/src/test/java/org/researchedc/module/audit/service/DatabaseChangeLogServiceTest.java:20:        when(port.findAll()).thenReturn(List.of(dto));; app/src/test/java/org/researchedc/module/audit/service/DatabaseChangeLogServiceTest.java:27:        verify(port).findAll();; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:65:    public Collection findAll() {",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,findAll,Collection findAll(String strOrderByColumn; boolean blnAscendingSort; String strSearchPhrase),removed,,"app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:34:        when(filterRepository.findAll()).thenReturn(List.of(f1, f2));; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:45:        when(filterRepository.findAll()).thenReturn(List.of());; app/src/test/java/org/researchedc/module/filter/internal/adapter/FilterDaoAdapterTest.java:75:        ArrayList filters = (ArrayList) adapter.findAll();; app/src/test/java/org/researchedc/module/audit/service/DatabaseChangeLogServiceTest.java:20:        when(port.findAll()).thenReturn(List.of(dto));; app/src/test/java/org/researchedc/module/audit/service/DatabaseChangeLogServiceTest.java:27:        verify(port).findAll();; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:65:    public Collection findAll() {; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:66:        return toBeans(repository.findAll());; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:70:    public Collection findAll(String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase) {",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,findByDatasetId,ArrayList findByDatasetId(int did),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,findByDatasetIdByDate,ArrayList findByDatasetIdByDate(int did),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,findAllByPermission,Collection findAllByPermission(Object objCurrentUser; int intActionType; String strOrderByColumn; boolean blnAscendingSort; String strSearchPhrase),removed,,"shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:76:    public Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:78:    public Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:19:    Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:20:    Collection findAllByPermission(Object objCurrentUser, int intActionType);; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:75:    public Collection findAllByPermission(Object objCurrentUser, int intActionType,; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:81:    public Collection findAllByPermission(Object objCurrentUser, int intActionType) {; shared/src/main/java/org/researchedc/dao/spi/ICrfDAO.java:31:    Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/ICrfDAO.java:32:    Collection findAllByPermission(Object objCurrentUser, int intActionType);",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,findAllByPermission,Collection findAllByPermission(Object objCurrentUser; int intActionType),removed,,"shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:76:    public Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:78:    public Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:19:    Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:20:    Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/StudyGroupDao.java:18:    Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/StudyGroupDao.java:19:    Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/rule/RuleSetRuleDAO.java:355:    public Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase) {; shared/src/main/java/org/researchedc/dao/rule/RuleSetRuleDAO.java:364:    public Collection findAllByPermission(Object objCurrentUser, int intActionType) {",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
ArchivedDatasetFileDao,deleteArchiveDataset,void deleteArchiveDataset(org.researchedc.bean.extract.ArchivedDatasetFileBean adfBean),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
